,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset
0,2025-02-06,1738810800,31.0,24.0,26.4,36.4,24.0,28.0,24.1,88.1,16.1,100.0,79.17,['rain'],0.0,0.0,27.0,25.9,70.8,1009.7,77.9,10.0,268.0,23.0,10.0,75.0,06:23:06,1738833786,18:33:13,1738877593,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBBE'],obs,1,-1.45643,-48.5033,"Belém, PA, Brasil","Belém,PA,Brasil",America/Belem,-3.0
0,2025-02-06,1738810800,30.9,19.9,25.3,30.9,19.9,25.4,17.6,66.5,1.1,100.0,25.0,['rain'],0.0,0.0,17.6,18.3,105.0,1016.2,47.6,9.8,321.1,27.7,10.0,60.0,06:08:30,1738832910,18:53:38,1738878818,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['SBGO', 'SBAN']",obs,1,-16.6793,-49.2565,"Goiânia, GO, Brasil","Goiânia,GO,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,29.0,24.0,26.8,32.6,24.0,28.5,22.1,75.8,1.2,100.0,25.0,['rain'],0.0,,20.5,18.4,101.1,1012.8,87.4,9.7,213.5,18.5,9.0,30.0,05:30:01,1738830601,18:06:18,1738875978,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBSV'],obs,1,-12.98645,-38.52259,"Salvador, BA, Brasil","Salvador,BA,Brasil",America/Bahia,-3.0
0,2025-02-06,1738810800,33.0,24.0,27.7,39.1,24.0,30.3,23.1,76.9,13.8,100.0,29.17,['rain'],0.0,,34.2,29.5,336.6,1008.5,79.5,10.0,137.0,11.9,9.0,30.0,05:51:05,1738831865,19:05:13,1738879513,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['SBFL', 'D7023']",obs,1,-27.5976,-48.548,"Florianópolis, SC, Brasil","Florianópolis,SC,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,31.0,23.0,26.2,36.4,23.0,28.0,23.7,87.5,16.1,100.0,79.17,['rain'],0.0,,28.1,24.1,81.7,1009.4,82.9,9.2,271.2,23.5,9.0,30.0,06:04:51,1738832691,18:17:21,1738876641,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['remote', 'SBSL']",obs,1,-2.52655,-44.2403,"São Luís, MA, Brasil","São Luís,MA,Brasil",America/Fortaleza,-3.0
0,2025-02-06,1738810800,27.0,24.0,25.3,30.0,24.0,26.0,23.6,90.7,12.2,100.0,70.83,['rain'],0.0,,28.8,18.4,80.6,1012.3,81.6,9.0,98.8,8.6,4.0,10.0,05:22:45,1738830165,17:51:19,1738875079,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBMO'],obs,1,-9.66649,-35.735,"Maceió, AL, Brasil","Maceió,AL,Brasil",America/Maceio,-3.0
0,2025-02-06,1738810800,31.1,23.0,27.2,37.9,23.0,29.4,22.4,75.5,0.2,100.0,8.33,['rain'],0.0,0.0,58.3,37.0,249.5,1008.1,60.2,10.0,334.0,28.8,10.0,30.0,05:58:08,1738832288,19:19:34,1738880374,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['SBPA', 'SBCO']",obs,1,-30.03393,-51.22799,"Porto Alegre, RS, Brasil","Porto Alegre,RS,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,25.9,19.0,21.7,25.9,19.0,21.7,19.0,85.0,7.5,100.0,45.83,['rain'],0.0,0.0,37.8,22.3,314.0,1017.1,86.2,9.9,184.6,15.9,9.0,10.0,05:57:05,1738832225,19:05:05,1738879505,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['SBBI', 'SBPG', 'SBCT']",obs,1,-25.44,-49.2765,"Curitiba, PR, Brasil","Curitiba,PR,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,30.9,18.0,24.6,30.1,18.0,24.6,15.3,58.1,0.1,100.0,4.17,['rain'],0.0,0.0,25.6,14.6,93.7,1017.9,40.4,10.0,314.8,27.3,10.0,30.0,05:43:09,1738831389,18:36:24,1738877784,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['SBLS', 'SBBH', 'SBCF']",obs,1,-19.91963,-43.93831,"Belo Horizonte, MG, Brasil","Belo Horizonte,MG,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,29.0,24.0,26.2,32.6,24.0,27.4,23.6,86.0,11.9,100.0,79.17,['rain'],0.0,0.0,43.6,25.9,133.8,1010.3,76.9,9.5,248.4,21.3,9.0,30.0,05:40:44,1738831244,17:55:52,1738875352,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBFZ'],obs,1,-3.71841,-38.5429,"Fortaleza, CE, Brasil","Fortaleza,CE,Brasil",America/Fortaleza,-3.0
0,2025-02-06,1738810800,29.0,23.0,26.2,34.4,23.0,28.3,23.9,87.6,13.8,100.0,75.0,['rain'],0.0,,31.0,22.3,139.5,1011.3,88.8,8.4,113.4,9.8,6.0,10.0,05:21:08,1738830068,17:46:02,1738874762,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBRF'],obs,1,-8.05603,-34.8704,"Recife, PE, Brasil","Recife,PE,Brasil",America/Recife,-3.0
0,2025-02-06,1738810800,29.0,22.0,25.0,33.5,22.0,25.5,24.3,96.1,20.6,100.0,70.83,['rain'],0.0,0.0,29.9,25.9,108.4,1011.8,92.0,9.3,43.2,3.8,1.0,10.0,05:22:10,1738830130,17:44:56,1738874696,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['SBJP'],obs,1,-7.1151,-34.86108,"João Pessoa, PB, Brasil","João Pessoa,PB,Brasil",America/Fortaleza,-3.0
0,2025-02-06,1738810800,29.0,24.0,27.0,33.5,24.0,29.1,23.3,80.8,6.2,100.0,70.83,['rain'],0.0,,26.3,22.3,115.5,1012.2,88.4,9.8,170.4,14.7,9.0,30.0,05:26:40,1738830400,17:58:06,1738875486,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBAR'],obs,1,-10.9092,-37.0745,"Aracaju, SE, Brasil","Aracaju,SE,Brasil",America/Maceio,-3.0
0,2025-02-06,1738810800,30.0,22.0,25.1,34.0,22.0,26.0,23.3,90.3,22.2,100.0,83.33,['rain'],0.0,0.0,31.3,27.7,162.7,1010.9,83.2,8.7,32.1,2.9,2.0,10.0,05:25:04,1738830304,17:44:51,1738874691,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBNT'],obs,1,-5.79547,-35.2115,"Natal, RN, Brasil","Natal,RN,Brasil",America/Fortaleza,-3.0
0,2025-02-06,1738810800,32.0,22.0,27.0,35.7,22.0,28.4,21.5,73.5,0.1,100.0,4.17,['rain'],0.0,,24.5,25.9,31.8,1014.3,74.5,10.0,224.6,19.4,9.0,30.0,05:28:12,1738830492,18:22:30,1738876950,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,['SBVT'],obs,1,-20.32064,-40.3341,"Vitória, ES, Brasil","Vitória,ES,Brasil",America/Sao_Paulo,-3.0
