,distance,latitude,longitude,useCount,id,name,quality,contribution,datetime,city
0,5831.0,-8.709,-63.902,0,82824099999,"GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA, BR",100,0.0,2025-02-02,Porto Velho
1,2187.0,-8.77,-63.92,0,SBPV,SBPV,50,0.0,2025-02-02,Porto Velho
0,7783.0,-3.039,-60.05,0,82111099999,"EDUARDO GOMES INTERNATIONAL, BR",50,0.0,2025-02-02,Manaus
1,8444.0,-3.146,-59.986,0,82332099999,"PONTA PELADA, BR",100,0.0,2025-02-02,Manaus
2,11703.0,-3.133,-59.95,0,81730099999,"MANAUS, BR",41,0.0,2025-02-02,Manaus
3,9271.0,-3.15,-59.98,0,SBMN,SBMN,50,0.0,2025-02-02,Manaus
4,8740.0,-3.03,-60.05,0,SBEG,SBEG,50,0.0,2025-02-02,Manaus
0,3025.0,-10.0,-67.8,0,SBRB,SBRB,50,0.0,2025-02-02,Rio Branco
1,39462.0,-9.95,-68.167,0,81965099999,"RIO BRANCO, BR",0,0.0,2025-02-02,Rio Branco
2,15029.0,-9.869,-67.894,0,82917099999,"PRESIDENTE MEDICI, BR",100,0.0,2025-02-02,Rio Branco
0,6123.0,-20.469,-54.672,0,83612099999,"CAMPO GRANDE, BR",100,0.0,2025-02-02,Campo Grande
1,716.0,-20.45,-54.617,0,86810099999,"CAMPO GRANDE, BR",48,0.0,2025-02-02,Campo Grande
2,69139.0,-20.983,-54.967,0,86809099999,"SIDROLANDIA, BR",3,0.0,2025-02-02,Campo Grande
3,5905.0,-20.47,-54.67,0,SBCG,SBCG,50,0.0,2025-02-02,Campo Grande
0,1951.0,0.051,-51.072,0,82098099999,"MACAPA, BR",99,0.0,2025-02-02,Macapá
1,1892.0,0.03,-51.05,0,SBMQ,SBMQ,50,0.0,2025-02-02,Macapá
0,10275.0,-15.87,-47.94,0,SBBR,SBBR,50,0.0,2025-02-02,Brasília
1,9547.0,-15.863,-47.913,0,83378099999,"PRESIDENTE JUSCELINO KUBITSCHEK, BR",100,0.0,2025-02-02,Brasília
2,716.0,-15.783,-47.933,0,86715099999,"BRASILIA, BR",48,0.0,2025-02-02,Brasília
3,37402.0,-15.6,-47.633,0,86716099999,"AGUAS EMENDADAS, BR",47,0.0,2025-02-02,Brasília
4,54517.0,-16.267,-47.967,0,86736099999,"LUZIANIA, BR",47,0.0,2025-02-02,Brasília
0,3292.0,2.846,-60.69,0,82022099999,"BOA VISTA, BR",99,0.0,2025-02-02,Boa Vista
1,3076.0,2.83,-60.7,0,SBBV,SBBV,50,0.0,2025-02-02,Boa Vista
