,distance,latitude,longitude,useCount,id,name,quality,contribution,datetime,city
2,3541.0,2.805,-60.647,0,81615099999,"BOA VISTA, BR",1,0.0,2025-02-02,Boa Vista
0,5728.0,-15.65,-56.1,0,SBCY,SBCY,50,0.0,2025-02-02,Cuiabá
1,6468.0,-15.653,-56.117,0,83362099999,"MARECHAL RONDON, BR",100,0.0,2025-02-02,Cuiabá
2,2072.0,-15.617,-56.1,0,86705099999,"CUIABA, BR",17,0.0,2025-02-02,Cuiabá
0,62555.0,-10.717,-48.583,0,83064099999,"PORTO NACIONAL, BR",56,0.0,2025-02-02,Palmas
1,9248.0,-10.291,-48.357,0,82336699999,"TOCANTINS, BR",49,0.0,2025-02-02,Palmas
2,7802.0,-10.28,-48.35,0,SBPJ,SBPJ,50,0.0,2025-02-02,Palmas
0,5400.0,-23.52,-46.63,0,SBMT,SBMT,37,0.0,2025-02-02,São Paulo
1,6232.0,-23.509,-46.638,0,83779099999,"MARTE, BR",36,0.0,2025-02-02,São Paulo
2,6430.0,-23.616,-46.631,0,F7461,FW7461 Sao Paulo BR,0,0.0,2025-02-02,São Paulo
3,6374.0,-23.62,-46.65,0,SBSP,SBSP,49,0.0,2025-02-02,São Paulo
4,23967.0,-23.43,-46.47,0,SBGR,SBGR,50,0.0,2025-02-02,São Paulo
5,7103.0,-23.627,-46.655,0,83780099999,"CONGONHAS, BR",99,0.0,2025-02-02,São Paulo
0,3667.0,-5.06,-42.823,0,82579099999,"SENADOR PETRONIO PORTELLA, BR",99,0.0,2025-02-02,Teresina
1,67050.0,-4.817,-43.35,0,81792099999,"CAXIAS, BR",0,0.0,2025-02-02,Teresina
2,4622.0,-5.05,-42.82,0,SBTE,SBTE,50,0.0,2025-02-02,Teresina
0,1452.0,-22.9,-43.17,0,SBRJ,SBRJ,40,0.0,2025-02-02,Rio de Janeiro
1,12827.0,-22.82,-43.25,0,SBGL,SBGL,50,0.0,2025-02-02,Rio de Janeiro
2,20542.0,-22.87,-43.37,0,SBAF,SBAF,30,0.0,2025-02-02,Rio de Janeiro
3,21898.0,-22.875,-43.385,0,83748099999,"CAMPO DELIO JARDIM DE MATTOS, BR",29,0.0,2025-02-02,Rio de Janeiro
4,57687.0,-22.394,-43.15,0,F0496,FW0496 Rio De Janeiro BR,0,0.0,2025-02-02,Rio de Janeiro
5,13481.0,-22.809,-43.244,0,83746099999,"GALEAO ANTONIO CARLOS JOBIM, BR",100,0.0,2025-02-02,Rio de Janeiro
6,1235.0,-22.91,-43.163,0,83755099999,"SANTOS DUMONT, BR",37,0.0,2025-02-02,Rio de Janeiro
0,8894.0,-1.38,-48.48,0,SBBE,SBBE,50,0.0,2025-02-02,Belém
1,9102.0,-1.379,-48.476,0,82193099999,"VAL DE CANS INTERNATIONAL, BR",100,0.0,2025-02-02,Belém
2,8960.0,-1.417,-48.433,0,81680099999,"BELEM, BR",45,0.0,2025-02-02,Belém
0,6504.0,-16.632,-49.221,0,83424099999,"SANTA GENOVEVA, BR",50,0.0,2025-02-02,Goiânia
1,6728.0,-16.63,-49.22,0,SBGO,SBGO,50,0.0,2025-02-02,Goiânia
2,59022.0,-16.229,-48.964,0,83419099999,"BASE AEREA, BR",49,0.0,2025-02-02,Goiânia
3,58627.0,-16.23,-48.97,0,SBAN,SBAN,50,0.0,2025-02-02,Goiânia
4,5353.0,-16.65,-49.217,0,86734099999,"GOIANIA, BR",46,0.0,2025-02-02,Goiânia
5,1565.0,-16.667,-49.25,0,83423099999,"GOIANIA, BR",6,0.0,2025-02-02,Goiânia
0,9388.0,13.7,-89.12,0,MSSS,MSSS,23,0.0,2025-02-02,Salvador
1,9398.0,13.7,-89.12,0,78663099999,"ILOPANGO INTERNATIONAL, ES",73,0.0,2025-02-02,Salvador
2,34486.0,13.43,-89.05,0,MSLP,MSLP,50,0.0,2025-02-02,Salvador
3,33126.0,13.441,-89.056,0,78666099999,"EL SALVADOR INTERNATIONAL, ES",49,0.0,2025-02-02,Salvador
4,46107.0,13.97,-89.53,0,78655099999,"SANTA ANA EL PALMAR, ES",72,0.0,2025-02-02,Salvador
0,65121.0,-27.017,-48.63,0,D7023,DW7023 Balneario Camboriu BR,0,0.0,2025-02-02,Florianópolis
1,75047.0,-26.951,-48.762,0,86948099999,"ITAJAI, BR",0,0.0,2025-02-02,Florianópolis
2,8062.0,-27.67,-48.55,0,SBFL,SBFL,50,0.0,2025-02-02,Florianópolis
3,8116.0,-27.67,-48.547,0,83899099999,"HERCILIO LUZ, BR",100,0.0,2025-02-02,Florianópolis
0,6581.0,-2.585,-44.234,0,82281099999,"MARECHAL CUNHA MACHADO INTERNATIONAL, BR",99,0.0,2025-02-02,São Luís
1,8254.0,-2.6,-44.23,0,SBSL,SBSL,50,0.0,2025-02-02,São Luís
2,2730.0,-2.533,-44.217,0,81715099999,"SAO LUIS, BR",40,0.0,2025-02-02,São Luís
0,18414.0,-9.511,-35.792,0,82993099999,"ZUMBI DOS PALMARES, BR",100,0.0,2025-02-02,Maceió
1,13426.0,-9.55,-35.767,0,81998099999,"MACEIO, BR",48,0.0,2025-02-02,Maceió
2,17039.0,-9.52,-35.78,0,SBMO,SBMO,50,0.0,2025-02-02,Maceió
0,12686.0,-29.946,-51.144,0,83967099999,"CANOAS, BR",89,0.0,2025-02-02,Porto Alegre
1,7007.0,-29.994,-51.171,0,83971099999,"SALGADO FILHO, BR",100,0.0,2025-02-02,Porto Alegre
2,11991.0,-29.95,-51.15,0,SBCO,SBCO,39,0.0,2025-02-02,Porto Alegre
3,5971.0,-30.0,-51.18,0,SBPA,SBPA,50,0.0,2025-02-02,Porto Alegre
0,1291.0,-25.43,-49.27,0,SBBI,SBBI,32,0.0,2025-02-02,Curitiba
1,5925.0,-25.405,-49.232,0,83842099999,"BACACHERI, BR",82,0.0,2025-02-02,Curitiba
2,14123.0,-25.528,-49.176,0,83840099999,"AFONSO PENA, BR",100,0.0,2025-02-02,Curitiba
3,13923.0,-25.52,-49.17,0,SBCT,SBCT,50,0.0,2025-02-02,Curitiba
4,4771.0,-25.449,-49.23,0,86933099999,"CURITIBA, BR",17,0.0,2025-02-02,Curitiba
0,31965.0,-19.634,-43.969,0,83587099999,"TANCREDO NEVES INTERNATIONAL, BR",100,0.0,2025-02-02,Belo Horizonte
1,28062.0,-19.67,-43.9,0,SBLS,SBLS,36,0.0,2025-02-02,Belo Horizonte
2,7833.0,-19.85,-43.95,0,SBBH,SBBH,48,0.0,2025-02-02,Belo Horizonte
3,32398.0,-19.63,-43.97,0,SBCF,SBCF,50,0.0,2025-02-02,Belo Horizonte
4,7711.0,-19.851,-43.951,0,83583099999,"PAMPULHA CARLOS DRUMMOND DE ANDRADE, BR",48,0.0,2025-02-02,Belo Horizonte
5,33839.0,-19.617,-43.967,0,83566099999,"CONFINS AERO, BR",66,0.0,2025-02-02,Belo Horizonte
6,30549.0,-19.65,-43.883,0,83588099999,"LAGOA SANTA AIRPORT, BR",34,0.0,2025-02-02,Belo Horizonte
7,50237.0,-19.883,-44.417,0,86798099999,"FLORESTAL, BR",39,0.0,2025-02-02,Belo Horizonte
0,7004.0,-3.78,-38.53,0,SBFZ,SBFZ,50,0.0,2025-02-02,Fortaleza
1,6543.0,-3.776,-38.533,0,82398099999,"PINTO MARTINS INTERNATIONAL, BR",100,0.0,2025-02-02,Fortaleza
0,9884.0,-8.13,-34.92,0,SBRF,SBRF,50,0.0,2025-02-02,Recife
1,9793.0,-8.126,-34.924,0,82899099999,"GUARARAPES GILBERTO FREYRE INTERNATIONAL, BR",100,0.0,2025-02-02,Recife
0,10560.0,-7.15,-34.95,0,SBJP,SBJP,50,0.0,2025-02-02,João Pessoa
1,63116.0,-6.617,-35.133,0,81878099999,"CAMARATUBA, BR",4,0.0,2025-02-02,João Pessoa
2,1791.0,-7.1,-34.867,0,82798099999,"JOAO PESSOA, BR",99,0.0,2025-02-02,João Pessoa
3,4074.0,-7.15,-34.85,0,81918099999,"JOAO PESSOA, BR",11,0.0,2025-02-02,João Pessoa
0,7897.0,-10.98,-37.07,0,SBAR,SBAR,50,0.0,2025-02-02,Aracaju
1,8339.0,-10.984,-37.07,0,83095099999,"SANTA MARIA, BR",50,0.0,2025-02-02,Aracaju
0,13519.0,-5.911,-35.248,0,82599099999,"AUGUSTO SEVERO, BR",99,0.0,2025-02-02,Natal
1,14507.0,-5.92,-35.25,0,SBNT,SBNT,50,0.0,2025-02-02,Natal
2,4406.0,-5.833,-35.2,0,81839099999,"NATAL, BR",22,0.0,2025-02-02,Natal
0,1868.0,-20.317,-40.317,0,86830099999,"VITORIA, BR",42,0.0,2025-02-02,Vitória
1,7977.0,-20.27,-40.28,0,SBVT,SBVT,50,0.0,2025-02-02,Vitória
2,54266.0,-20.633,-40.733,0,86829099999,"ALFREDO CHAVES, BR",39,0.0,2025-02-02,Vitória
3,8556.0,-20.258,-40.286,0,83649099999,"GOIABEIRAS, BR",100,0.0,2025-02-02,Vitória
