,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset,city
0,2025-02-02,1738465200,33.0,24.0,27.7,38.1,24.0,29.6,23.1,77.9,0.3,100.0,4.17,['rain'],0.0,,22.7,14.7,302.1,1007.5,78.4,10.0,147.9,12.9,9.0,30.0,05:33:34,1738485214,18:39:09,1738532349,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['SBRJ', 'SBGL', 'SBAF', '83748099999', 'F0496', '83746099999', '83755099999']",obs,1,-22.9122,-43.175,"Rio de Janeiro, RJ, Brasil",Rio de Janeiro,America/Sao_Paulo,-3.0,Rio de Janeiro
0,2025-02-02,1738465200,30.2,23.0,25.4,34.7,23.0,26.6,23.3,89.1,43.0,100.0,4.17,['rain'],0.0,0.0,27.0,16.2,93.0,1009.5,91.4,10.6,102.7,8.8,5.0,10.0,06:22:36,1738488156,18:33:02,1738531982,0.15,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['SBBE', '82193099999', '81680099999']",obs,1,-1.45643,-48.5033,"Belém, PA, Brasil",Belém,America/Belem,-3.0,Belém
0,2025-02-02,1738465200,27.8,20.8,23.6,29.2,20.8,23.9,19.8,80.8,14.3,100.0,62.5,['rain'],0.0,0.0,38.9,19.3,338.1,1012.0,81.9,10.4,158.6,13.7,7.0,30.0,06:06:34,1738487194,18:54:54,1738533294,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['83424099999', 'SBGO', '83419099999', 'SBAN', '86734099999', '83423099999']",obs,1,-16.6793,-49.2565,"Goiânia, GO, Brasil",Goiânia,America/Sao_Paulo,-3.0,Goiânia
0,2025-02-02,1738476000,32.3,20.5,27.2,32.3,20.5,27.4,17.9,59.4,0.0,0.0,0.0,,0.0,0.0,35.3,21.2,12.2,1012.1,20.8,11.5,267.5,23.2,9.0,10.0,06:23:47,1738499027,17:57:40,1738540660,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['MSSS', '78666099999', '78663099999', 'MSLP', '78655099999']",obs,1,13.6997,-89.2068,El Salvador,Salvador,America/El_Salvador,-6.0,Salvador
0,2025-02-02,1738465200,29.1,23.0,26.0,32.8,23.0,27.1,22.9,83.4,0.7,100.0,4.17,['rain'],0.0,,19.1,18.3,110.1,1008.7,73.1,10.8,93.8,8.0,4.0,10.0,05:47:56,1738486076,19:07:41,1738534061,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['SBFL', 'D7023', '86948099999', '83899099999']",obs,1,-27.5976,-48.548,"Florianópolis, SC, Brasil",Florianópolis,America/Sao_Paulo,-3.0,Florianópolis
0,2025-02-02,1738465200,32.0,24.2,25.9,39.2,24.2,26.8,24.0,89.7,19.0,100.0,8.33,['rain'],0.0,,35.6,25.9,345.9,1009.2,83.9,12.0,256.8,22.2,10.0,30.0,06:04:15,1738487055,18:17:15,1738531035,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['82281099999', 'SBSL', '81715099999']",obs,1,-2.52657,-44.2403,"São Luís, MA, Brasil",São Luís,America/Fortaleza,-3.0,São Luís
0,2025-02-02,1738465200,31.8,23.0,26.8,36.0,23.0,28.6,23.1,81.7,0.0,0.0,0.0,['rain'],0.0,,24.5,25.0,84.0,1011.7,39.7,10.6,323.0,28.0,10.0,30.0,05:21:30,1738484490,17:51:53,1738529513,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82993099999', '81998099999', 'SBMO']",obs,1,-9.66649,-35.735,"Maceió, AL, Brasil",Maceió,America/Maceio,-3.0,Maceió
0,2025-02-02,1738465200,32.9,22.4,27.0,37.8,22.4,28.9,22.1,75.7,0.0,0.0,0.0,,0.0,0.0,33.8,32.2,109.7,1007.7,19.8,10.5,338.2,29.3,10.0,30.0,05:54:42,1738486482,19:22:19,1738534939,0.15,Clear,Clear conditions throughout the day.,clear-day,"['SBPA', '83967099999', '83971099999', 'SBCO']",obs,1,-30.0339,-51.228,"Porto Alegre, RS, Brasil",Porto Alegre,America/Sao_Paulo,-3.0,Porto Alegre
0,2025-02-02,1738465200,26.9,18.5,21.4,28.1,18.5,21.4,19.1,88.0,0.748,100.0,4.17,['rain'],0.0,0.0,24.5,12.8,71.3,1012.7,84.7,9.4,300.9,25.9,9.0,30.0,05:54:13,1738486453,19:07:17,1738534037,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['SBBI', 'SBCT', '86933099999', '83842099999', '83840099999']",obs,1,-25.44,-49.2765,"Curitiba, PR, Brasil",Curitiba,America/Sao_Paulo,-3.0,Curitiba
0,2025-02-02,1738465200,25.8,20.0,21.5,25.8,20.0,21.5,20.0,91.3,12.732,100.0,12.5,['rain'],0.0,0.0,27.7,27.8,69.9,1015.1,86.7,7.9,112.5,9.8,8.0,30.0,05:40:52,1738485652,18:38:00,1738532280,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['83587099999', 'SBLS', 'SBBH', 'SBCF', '83583099999', '83566099999', '83588099999', '86798099999']",obs,1,-19.9195,-43.9383,"Belo Horizonte, MG, Brasil",Belo Horizonte,America/Sao_Paulo,-3.0,Belo Horizonte
0,2025-02-02,1738465200,31.1,27.0,28.9,36.6,29.6,33.3,24.0,75.3,0.9,100.0,4.17,['rain'],0.0,0.0,27.0,31.7,100.7,1008.9,47.9,10.9,276.0,23.8,9.0,30.0,05:40:01,1738485601,17:55:53,1738529753,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['SBFZ', '82398099999']",obs,1,-3.71841,-38.5429,"Fortaleza, CE, Brasil",Fortaleza,America/Fortaleza,-3.0,Fortaleza
0,2025-02-02,1738465200,31.0,25.0,28.1,36.5,25.0,31.2,23.7,77.8,0.0,0.0,0.0,,0.0,,22.3,18.4,126.6,1010.6,54.0,11.7,325.3,28.1,10.0,30.0,05:20:02,1738484402,17:46:27,1738529187,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82899099999', 'SBRF']",obs,1,-8.05603,-34.8704,"Recife, PE, Brasil",Recife,America/Recife,-3.0,Recife
0,2025-02-02,1738465200,32.0,24.1,27.4,36.7,24.1,29.5,23.4,80.3,0.0,0.0,0.0,['rain'],0.0,0.0,27.4,20.9,112.5,1010.6,34.0,9.9,322.6,27.9,10.0,30.0,05:21:09,1738484469,17:45:16,1738529116,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBJP', '81878099999', '82798099999', '81918099999']",obs,1,-7.1151,-34.8611,"João Pessoa, PB, Brasil",João Pessoa,America/Fortaleza,-3.0,João Pessoa
0,2025-02-02,1738465200,31.0,25.0,28.5,37.7,25.0,32.3,23.5,74.7,2.6,100.0,45.83,['rain'],0.0,,26.6,27.7,107.3,1010.9,35.9,10.0,324.4,28.0,10.0,60.0,05:25:18,1738484718,17:58:47,1738529927,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['SBAR', '83095099999']",obs,1,-10.9092,-37.0745,"Aracaju, SE, Brasil",Aracaju,America/Maceio,-3.0,Aracaju
0,2025-02-02,1738465200,30.9,24.9,28.2,35.7,24.9,31.4,23.5,76.1,0.0,0.0,0.0,['rain'],0.0,0.0,27.4,20.2,134.6,1010.0,42.8,11.8,294.2,25.4,10.0,30.0,05:24:10,1738484650,17:45:04,1738529104,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82599099999', 'SBNT', '81839099999']",obs,1,-5.79544,-35.2115,"Natal, RN, Brasil",Natal,America/Fortaleza,-3.0,Natal
0,2025-02-02,1738465200,34.9,24.1,28.6,36.4,24.1,29.9,20.8,64.3,0.0,0.0,0.0,,0.0,,51.8,17.2,17.4,1012.5,40.1,10.8,333.7,29.0,10.0,30.0,05:25:53,1738484753,18:24:08,1738531448,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', '86830099999', 'SBVT', '86829099999']",obs,1,-20.3206,-40.3341,"Vitória, ES, Brasil",Vitória,America/Sao_Paulo,-3.0,Vitória
